epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,3.66392,2.49885,3.24463,6.93237,1.02777,0,8e-05,0.02564,1e-05,0,0.00083,0.25641,0.00037,0.00012,1.56424,1.93295,6.72157,0.87918,0,0.00016,0.00016,0.00016
2,6.19818,1.56934,1.76895,4.68989,0.80939,0,0.003,0.92308,0.00955,0.00364,0.00317,0.97436,0.00957,0.00649,1.35612,0.91058,5.57282,0.83993,0,0.000333268,0.000333268,0.000333268
3,8.67577,1.40428,1.66771,3.86309,0.78857,0,0.0015,0.46154,0.00133,0.00039,0.00325,1,0.0087,0.00463,1.32199,1.01753,5.9074,0.85675,0,0.000499408,0.000499408,0.000499408
4,11.1663,1.36611,1.22665,3.2444,0.80187,0,0.0005,0.15385,8e-05,2e-05,0.00308,0.94872,0.0075,0.00432,0.97051,0.83855,5.80402,0.83502,0,0.00065842,0.00065842,0.00065842
5,13.6449,1.19365,1.27209,2.92489,0.80985,0,0.00075,0.23077,0.00022,0.00017,0.003,0.92308,0.00471,0.00215,1.25627,0.75039,5.89519,0.85175,0,0.000810304,0.000810304,0.000810304
6,16.1665,1.34834,1.34216,2.53789,0.79205,0,0.003,0.92308,0.00585,0.00381,0.00308,0.94872,0.00566,0.00274,1.37287,1.06361,4.99513,0.85449,0,0.00095506,0.00095506,0.00095506
7,18.6283,1.23615,1.36755,2.50044,0.80623,0,0.00308,0.94872,0.06661,0.0554,0.00308,0.94872,0.06637,0.04388,0.97198,0.93839,4.4176,0.83156,0,0.00109269,0.00109269,0.00109269
8,21.1542,1.11485,1.19416,2.28051,0.81102,0,0.00317,0.97436,0.03647,0.02829,0.00308,0.94872,0.03585,0.01993,1.0477,0.85464,4.21945,0.83615,0,0.00122319,0.00122319,0.00122319
9,23.6192,1.14944,1.25466,2.21723,0.79041,0,0.00317,0.97436,0.03375,0.0238,0.00308,0.94872,0.03363,0.01035,1.37511,0.97403,4.20216,0.84866,0,0.00134656,0.00134656,0.00134656
10,26.0552,1.18657,0.92286,2.01263,0.80503,0,0.00308,0.94872,0.06168,0.04318,0.00317,0.97436,0.05269,0.02395,1.26101,0.83344,5.02665,0.85431,0,0.0014628,0.0014628,0.0014628
11,28.4737,1.15636,1.09845,1.90424,0.81141,0,0.08879,0.64103,0.09159,0.06312,0.08524,0.61538,0.07679,0.03273,1.2633,0.7548,5.04486,0.86101,0,0.00157192,0.00157192,0.00157192
12,30.9393,1.0522,1.01994,1.70014,0.78742,0,0.16879,0.82267,0.16794,0.11889,0.16353,0.79703,0.16142,0.07274,1.20677,1.17516,4.32251,0.85347,0,0.0015644,0.0015644,0.0015644
13,33.4136,1.12759,1.18756,1.76022,0.79614,0,0.23033,0.87179,0.22647,0.1552,0.22333,0.84615,0.21255,0.08942,1.18412,0.72336,6.41605,0.86705,0,0.0015248,0.0015248,0.0015248
14,35.8512,1.15111,1.12549,1.62126,0.77778,0,0.12728,0.82051,0.12689,0.087,0.12645,0.82051,0.12069,0.05177,1.25671,0.66657,8.88748,0.85787,0,0.0014852,0.0014852,0.0014852
15,38.2788,1.21322,0.9508,1.60169,0.78907,0,0.97193,0.94872,0.97034,0.70485,0.87137,0.86858,0.81654,0.38776,1.0471,0.86559,1.71931,0.84026,0,0.0014456,0.0014456,0.0014456
16,40.7165,1.10134,1.07568,1.62188,0.79167,0,0.97364,0.94699,0.96102,0.65481,0.94728,0.92146,0.92098,0.3783,1.21895,0.58799,1.66207,0.85185,0,0.001406,0.001406,0.001406
17,43.1544,1.12776,0.99469,1.5329,0.80224,0,0.97278,0.94872,0.96218,0.70704,0.9464,0.92308,0.9135,0.40812,1.05046,0.57907,1.49231,0.84781,0,0.0013664,0.0013664,0.0013664
18,45.5808,1.13682,0.88035,1.4042,0.76639,0,0.97143,0.94872,0.96218,0.72352,0.91886,0.89744,0.86554,0.39152,1.01919,0.64184,1.50424,0.84284,0,0.0013268,0.0013268,0.0013268
19,48.006,1.13503,1.05168,1.3341,0.79332,0,0.97117,0.94872,0.9635,0.73514,0.94492,0.92308,0.89812,0.39171,1.01689,0.59782,1.71585,0.83649,0,0.0012872,0.0012872,0.0012872
20,50.4429,1.10556,0.93167,1.31498,0.79896,0,0.94981,0.97048,0.97034,0.74886,0.92472,0.94494,0.92418,0.45052,0.99094,0.68071,1.4665,0.83121,0,0.0012476,0.0012476,0.0012476
21,52.8423,1.0838,0.99063,1.20162,0.78834,0,0.94992,0.97283,0.96815,0.71887,0.94992,0.97283,0.96815,0.46543,1.10879,0.4862,1.40765,0.83994,0,0.001208,0.001208,0.001208
22,55.2462,1.16462,1.10376,1.27414,0.78286,0,0.94998,0.97404,0.96234,0.74111,0.89995,0.92308,0.85149,0.39945,1.07286,0.45552,1.3837,0.83775,0,0.0011684,0.0011684,0.0011684
23,57.6266,1.08469,0.83054,1.20985,0.78236,0,0.94997,0.97436,0.95856,0.74089,0.975,0.99992,0.972,0.50686,0.99387,0.47942,1.38391,0.83471,0,0.0011288,0.0011288,0.0011288
24,60.0611,0.99439,0.86965,1.17752,0.78808,0,0.94887,0.97436,0.95286,0.73437,0.89878,0.92308,0.85273,0.36212,0.95756,0.51406,1.14929,0.83483,0,0.0010892,0.0010892,0.0010892
25,62.4619,1.0913,0.94111,1.1679,0.79221,0,0.97361,1,0.97325,0.72656,0.92357,0.94872,0.87638,0.37422,0.95102,0.57969,1.19839,0.83269,0,0.0010496,0.0010496,0.0010496
26,64.8395,1.05188,1.01321,1.02774,0.80328,0,0.97339,1,0.974,0.72545,0.94836,0.97436,0.94835,0.45327,0.91452,0.55241,1.10183,0.83911,0,0.00101,0.00101,0.00101
27,67.3536,0.89879,1.05519,1.02755,0.79204,0,0.97271,1,0.974,0.73249,0.94768,0.97436,0.93981,0.44799,0.95668,0.58201,1.16592,0.83794,0,0.0009704,0.0009704,0.0009704
28,69.7848,0.94371,0.98628,0.95542,0.79161,0,0.97346,1,0.97275,0.76089,0.92323,0.94872,0.90844,0.44349,0.92165,0.51613,1.11937,0.83189,0,0.0009308,0.0009308,0.0009308
29,72.2166,0.92542,0.92725,0.94981,0.79504,0,0.97171,1,0.974,0.75943,0.94667,0.97436,0.94394,0.50368,0.92098,0.53189,1.05487,0.83232,0,0.0008912,0.0008912,0.0008912
30,74.6238,0.91887,0.93453,0.88603,0.77105,0,0.97071,1,0.97525,0.74046,0.94572,0.97436,0.94498,0.45844,0.94315,0.5743,1.10061,0.83621,0,0.0008516,0.0008516,0.0008516
31,77.0328,0.86113,0.91652,0.87312,0.77984,0,0.97175,0.94872,0.96354,0.77039,0.94342,0.97436,0.94547,0.50377,0.86102,0.52987,1.04781,0.83691,0,0.000812,0.000812,0.000812
32,79.4521,0.88555,0.78996,0.85375,0.78232,0,0.9743,0.97217,0.95321,0.74413,0.96711,1,0.97325,0.5495,0.93372,0.50154,1.00121,0.84028,0,0.0007724,0.0007724,0.0007724
33,81.8408,0.89559,0.87448,0.83991,0.75429,0,0.97154,0.94872,0.9555,0.76455,0.89195,0.92308,0.89023,0.4901,0.89464,0.53697,0.93826,0.83582,0,0.0007328,0.0007328,0.0007328
34,84.2392,0.89379,0.91852,0.82576,0.7609,0,0.97169,0.94872,0.9555,0.76833,0.91951,0.94872,0.90633,0.48393,0.81993,0.52686,0.91907,0.83476,0,0.0006932,0.0006932,0.0006932
35,86.6204,0.90033,0.81246,0.81919,0.79045,0,0.9716,0.94872,0.95814,0.77579,0.94553,0.97436,0.93667,0.48846,0.86279,0.54146,0.94134,0.83247,0,0.0006536,0.0006536,0.0006536
36,89.0401,0.76911,0.90358,0.79234,0.77132,0,0.97428,0.97152,0.96516,0.7829,0.92172,0.94872,0.90149,0.46003,0.7771,0.65103,0.93979,0.83537,0,0.000614,0.000614,0.000614
37,91.4421,0.77174,0.89793,0.7753,0.77979,0,0.9474,0.97436,0.95896,0.77735,0.9474,0.97436,0.94822,0.49802,0.87601,0.6546,0.93547,0.83879,0,0.0005744,0.0005744,0.0005744
38,93.8401,0.83881,0.77667,0.77885,0.77949,0,0.94803,0.97436,0.97832,0.79137,0.94803,0.97436,0.95268,0.5116,0.77575,0.6065,0.90968,0.83482,0,0.0005348,0.0005348,0.0005348
39,96.2638,0.8077,0.84947,0.77669,0.77446,0,0.94847,0.97436,0.97955,0.79691,0.94847,0.97436,0.94991,0.49641,0.79145,0.52626,0.86662,0.83362,0,0.0004952,0.0004952,0.0004952
40,98.6547,0.81871,0.92294,0.75575,0.75801,0,0.94857,0.97436,0.97525,0.80493,0.94857,0.97436,0.94493,0.4488,0.85003,0.51655,0.87951,0.83023,0,0.0004556,0.0004556,0.0004556
41,102.036,0.79861,0.738,0.89635,0.79751,0,0.97327,1,0.98925,0.77894,0.94831,0.97436,0.947,0.40549,0.85239,0.53838,0.84079,0.83235,0,0.000416,0.000416,0.000416
42,104.41,0.75649,0.9286,0.88706,0.78522,0,0.94814,0.97436,0.97604,0.7694,0.92318,0.94872,0.91029,0.38504,0.91111,0.5301,0.89455,0.83471,0,0.0003764,0.0003764,0.0003764
43,106.765,0.72575,0.69529,0.81665,0.79201,0,0.97319,1,0.99075,0.78955,0.92325,0.94872,0.9137,0.4165,0.90461,0.49729,0.85782,0.83383,0,0.0003368,0.0003368,0.0003368
44,109.162,0.72115,0.73189,0.8459,0.76616,0,0.97326,1,0.99075,0.8065,0.9483,0.97436,0.95547,0.5016,0.86142,0.46437,0.83655,0.83449,0,0.0002972,0.0002972,0.0002972
45,111.546,0.74169,0.73668,0.89064,0.76654,0,0.94838,0.97436,0.97728,0.80212,0.94838,0.97436,0.9559,0.50135,0.84155,0.45652,0.85534,0.83335,0,0.0002576,0.0002576,0.0002576
46,113.944,0.74271,0.73426,0.80738,0.78661,0,0.94864,0.97436,0.9799,0.80532,0.94842,0.97436,0.95605,0.49549,0.81434,0.46314,0.85449,0.83132,0,0.000218,0.000218,0.000218
47,116.325,0.75135,0.66426,0.84451,0.77333,0,0.94925,0.97436,0.98078,0.80405,0.94843,0.97436,0.95489,0.48214,0.7801,0.47556,0.83897,0.83034,0,0.0001784,0.0001784,0.0001784
48,118.687,0.66075,0.65544,0.8025,0.75982,0,0.94837,0.97436,0.983,0.8089,0.94837,0.97436,0.9553,0.46387,0.77596,0.47405,0.8372,0.83219,0,0.0001388,0.0001388,0.0001388
49,121.078,0.7076,0.90573,0.78928,0.76773,0,0.94834,0.97436,0.98615,0.81723,0.94834,0.97436,0.95644,0.47443,0.76637,0.46673,0.82064,0.8312,0,9.92e-05,9.92e-05,9.92e-05
50,123.457,0.67347,0.81229,0.7511,0.78191,0,0.94831,0.97436,0.98769,0.82077,0.94831,0.97436,0.94659,0.46849,0.74903,0.46626,0.82709,0.8303,0,5.96e-05,5.96e-05,5.96e-05
